SL,project_name,migration_direction,prompt_mode,model_name,cosine_similarity,crystal_bleu
246,MineLittlePony_HDSkins,gha_to_travis,zero-shot,llama3_1_8b,0.19346,0.043644
247,MineLittlePony_HDSkins,gha_to_travis,zero-shot,gpt-4o,0.35148,0.107625
248,MineLittlePony_HDSkins,gha_to_travis,zero-shot,mistral_7b,0.268239,0.113826
249,wcm-io-devops_conga-sling-plugin,travis_to_gha,zero-shot,gemma3_12b,0.572962,0.2847
250,wcm-io-devops_conga-sling-plugin,travis_to_gha,zero-shot,llama3_1_8b,0.684343,0.400937
251,wcm-io-devops_conga-sling-plugin,travis_to_gha,zero-shot,gpt-4o,0.758022,0.468538
252,wcm-io-devops_conga-sling-plugin,travis_to_gha,zero-shot,mistral_7b,0.715068,0.3604
253,wcm-io-devops_conga-sling-plugin,gha_to_travis,zero-shot,gemma3_12b,0.320028,0.264999
254,wcm-io-devops_conga-sling-plugin,gha_to_travis,zero-shot,llama3_1_8b,0.463806,0.200596
255,wcm-io-devops_conga-sling-plugin,gha_to_travis,zero-shot,gpt-4o,0.554054,0.400708
256,wcm-io-devops_conga-sling-plugin,gha_to_travis,zero-shot,mistral_7b,0.457969,0.231426
257,princesslana_smalld,travis_to_gha,zero-shot,gemma3_12b,0.557917,0.341848
258,princesslana_smalld,travis_to_gha,zero-shot,llama3_1_8b,0.586126,0.124392
259,princesslana_smalld,travis_to_gha,zero-shot,gpt-4o,0.606235,0.213672
260,princesslana_smalld,travis_to_gha,zero-shot,mistral_7b,0.622126,0.247298
261,princesslana_smalld,gha_to_travis,zero-shot,gemma3_12b,0.388274,0.234086
262,princesslana_smalld,gha_to_travis,zero-shot,llama3_1_8b,0.511282,0.288401
263,princesslana_smalld,gha_to_travis,zero-shot,gpt-4o,0.595099,0.372512
264,princesslana_smalld,gha_to_travis,zero-shot,mistral_7b,0.399448,0.1841
265,neo4j-contrib_neo4j-jdbc,travis_to_gha,zero-shot,gemma3_12b,0.664784,0.452891
266,neo4j-contrib_neo4j-jdbc,travis_to_gha,zero-shot,llama3_1_8b,0.579066,0.287902
267,neo4j-contrib_neo4j-jdbc,travis_to_gha,zero-shot,gpt-4o,0.673355,0.376346
268,neo4j-contrib_neo4j-jdbc,travis_to_gha,zero-shot,mistral_7b,0.686232,0.188949
269,neo4j-contrib_neo4j-jdbc,gha_to_travis,zero-shot,gemma3_12b,0.396412,0.121566
270,neo4j-contrib_neo4j-jdbc,gha_to_travis,zero-shot,llama3_1_8b,0.487377,0.114564
271,neo4j-contrib_neo4j-jdbc,gha_to_travis,zero-shot,gpt-4o,0.526361,0.119038
272,neo4j-contrib_neo4j-jdbc,gha_to_travis,zero-shot,mistral_7b,0.190693,0.063671
273,CompEvol_sampled-ancestors,travis_to_gha,zero-shot,gemma3_12b,0.528396,0.326464
274,CompEvol_sampled-ancestors,travis_to_gha,zero-shot,llama3_1_8b,0.464075,0.221766
275,CompEvol_sampled-ancestors,travis_to_gha,zero-shot,gpt-4o,0.525041,0.299667
276,CompEvol_sampled-ancestors,travis_to_gha,zero-shot,mistral_7b,0.36657,0.095506
277,CompEvol_sampled-ancestors,gha_to_travis,zero-shot,gemma3_12b,0.5766,0.341092
278,CompEvol_sampled-ancestors,gha_to_travis,zero-shot,llama3_1_8b,0.511682,0.203841
279,CompEvol_sampled-ancestors,gha_to_travis,zero-shot,gpt-4o,0.548454,0.13762
280,CompEvol_sampled-ancestors,gha_to_travis,zero-shot,mistral_7b,0.39083,0.128338
281,AxonIQ_axonserver-connector-java,travis_to_gha,zero-shot,gemma3_12b,0.603897,0.282771
282,AxonIQ_axonserver-connector-java,travis_to_gha,zero-shot,llama3_1_8b,0.533128,0.227672
